"","Male","Married","Protestant","Republican","GunOwner","Obama"
"97",TRUE,TRUE,TRUE,FALSE,FALSE,TRUE
"98",FALSE,FALSE,TRUE,TRUE,FALSE,FALSE
"99",FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
"100",TRUE,TRUE,FALSE,FALSE,FALSE,TRUE
"101",FALSE,TRUE,FALSE,FALSE,FALSE,TRUE
"102",TRUE,FALSE,FALSE,FALSE,FALSE,TRUE
"103",TRUE,FALSE,FALSE,FALSE,FALSE,TRUE
"104",TRUE,FALSE,TRUE,FALSE,FALSE,TRUE
"105",TRUE,TRUE,FALSE,FALSE,FALSE,TRUE
"106",TRUE,FALSE,TRUE,TRUE,TRUE,FALSE
"107",FALSE,FALSE,TRUE,TRUE,FALSE,FALSE
"108",TRUE,FALSE,FALSE,FALSE,FALSE,TRUE
"109",FALSE,TRUE,TRUE,TRUE,FALSE,FALSE
"110",TRUE,TRUE,FALSE,TRUE,FALSE,FALSE
"111",TRUE,FALSE,TRUE,TRUE,FALSE,FALSE
"112",FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
"113",TRUE,TRUE,FALSE,FALSE,TRUE,TRUE
"114",FALSE,TRUE,FALSE,FALSE,FALSE,TRUE
"115",FALSE,TRUE,FALSE,TRUE,FALSE,FALSE
"116",FALSE,TRUE,FALSE,FALSE,FALSE,TRUE
"117",TRUE,TRUE,TRUE,FALSE,FALSE,FALSE
"118",TRUE,TRUE,FALSE,FALSE,FALSE,TRUE
"119",FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
"120",TRUE,FALSE,FALSE,FALSE,TRUE,TRUE
"121",TRUE,TRUE,FALSE,TRUE,FALSE,FALSE
"122",FALSE,TRUE,TRUE,TRUE,TRUE,FALSE
"123",FALSE,TRUE,FALSE,FALSE,FALSE,TRUE
"124",FALSE,TRUE,TRUE,TRUE,TRUE,FALSE
"125",FALSE,TRUE,FALSE,FALSE,FALSE,TRUE
"126",TRUE,FALSE,TRUE,FALSE,FALSE,TRUE
"127",FALSE,FALSE,TRUE,FALSE,FALSE,TRUE
"128",FALSE,FALSE,TRUE,FALSE,TRUE,TRUE
"129",FALSE,FALSE,FALSE,TRUE,FALSE,TRUE
"130",TRUE,TRUE,FALSE,FALSE,FALSE,TRUE
"131",FALSE,TRUE,FALSE,FALSE,FALSE,TRUE
"132",FALSE,FALSE,TRUE,TRUE,FALSE,FALSE
"133",FALSE,FALSE,TRUE,TRUE,FALSE,FALSE
"134",TRUE,TRUE,FALSE,TRUE,FALSE,FALSE
"135",FALSE,TRUE,FALSE,FALSE,TRUE,TRUE
"136",FALSE,TRUE,TRUE,TRUE,FALSE,TRUE
"137",FALSE,TRUE,FALSE,TRUE,FALSE,FALSE
"138",FALSE,TRUE,FALSE,FALSE,TRUE,TRUE
"139",TRUE,FALSE,FALSE,FALSE,TRUE,TRUE
"140",TRUE,FALSE,TRUE,TRUE,FALSE,TRUE
"141",FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
"142",TRUE,TRUE,FALSE,FALSE,FALSE,TRUE
"143",FALSE,FALSE,TRUE,FALSE,FALSE,TRUE
"144",TRUE,FALSE,TRUE,FALSE,FALSE,TRUE
"145",TRUE,FALSE,FALSE,TRUE,FALSE,TRUE
"146",TRUE,FALSE,FALSE,TRUE,FALSE,TRUE
"147",TRUE,TRUE,FALSE,FALSE,FALSE,TRUE
"148",FALSE,TRUE,FALSE,FALSE,FALSE,TRUE
"149",TRUE,FALSE,TRUE,FALSE,TRUE,TRUE
"150",TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
"151",FALSE,TRUE,TRUE,FALSE,FALSE,FALSE
"152",FALSE,TRUE,FALSE,TRUE,TRUE,FALSE
"153",FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
"154",TRUE,FALSE,FALSE,FALSE,FALSE,TRUE
"155",FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
"156",FALSE,FALSE,TRUE,FALSE,FALSE,TRUE
"157",FALSE,FALSE,TRUE,FALSE,FALSE,TRUE
"158",TRUE,TRUE,FALSE,FALSE,FALSE,TRUE
"159",TRUE,TRUE,FALSE,FALSE,FALSE,TRUE
"160",FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
"161",FALSE,TRUE,FALSE,FALSE,FALSE,TRUE
"162",FALSE,FALSE,TRUE,TRUE,FALSE,FALSE
"163",TRUE,TRUE,TRUE,TRUE,FALSE,FALSE
"164",FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
"165",FALSE,TRUE,FALSE,FALSE,FALSE,TRUE
"166",FALSE,FALSE,TRUE,TRUE,FALSE,TRUE
"167",FALSE,FALSE,FALSE,TRUE,FALSE,TRUE
"168",FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
"169",TRUE,FALSE,TRUE,TRUE,TRUE,FALSE
"170",TRUE,FALSE,FALSE,TRUE,TRUE,FALSE
"171",FALSE,TRUE,FALSE,FALSE,TRUE,TRUE
"172",TRUE,FALSE,TRUE,FALSE,TRUE,TRUE
"173",FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
"174",FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
"175",FALSE,TRUE,TRUE,FALSE,FALSE,TRUE
"176",FALSE,TRUE,TRUE,TRUE,TRUE,FALSE
"177",TRUE,TRUE,TRUE,FALSE,FALSE,TRUE
"178",FALSE,FALSE,TRUE,FALSE,FALSE,TRUE
"179",FALSE,FALSE,TRUE,TRUE,FALSE,TRUE
"180",TRUE,TRUE,TRUE,TRUE,FALSE,TRUE
"181",TRUE,FALSE,TRUE,FALSE,TRUE,TRUE
"182",TRUE,FALSE,TRUE,FALSE,FALSE,TRUE
"183",TRUE,FALSE,FALSE,FALSE,FALSE,TRUE
"184",TRUE,TRUE,FALSE,FALSE,TRUE,TRUE
"185",TRUE,FALSE,FALSE,FALSE,FALSE,TRUE
"186",FALSE,FALSE,FALSE,TRUE,FALSE,TRUE
"187",TRUE,TRUE,FALSE,TRUE,FALSE,FALSE
"188",FALSE,FALSE,TRUE,FALSE,FALSE,TRUE
"189",FALSE,TRUE,FALSE,TRUE,FALSE,FALSE
"190",TRUE,TRUE,FALSE,FALSE,FALSE,TRUE
"191",FALSE,TRUE,FALSE,TRUE,TRUE,FALSE
"192",TRUE,TRUE,TRUE,FALSE,FALSE,TRUE
"193",TRUE,TRUE,TRUE,FALSE,FALSE,TRUE
"194",TRUE,FALSE,FALSE,TRUE,FALSE,TRUE
"195",FALSE,FALSE,FALSE,TRUE,FALSE,TRUE
"196",TRUE,FALSE,TRUE,FALSE,FALSE,TRUE
"197",FALSE,FALSE,TRUE,FALSE,FALSE,TRUE
"198",FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
"199",FALSE,FALSE,TRUE,FALSE,FALSE,TRUE
"200",TRUE,FALSE,TRUE,FALSE,FALSE,TRUE
"201",FALSE,TRUE,FALSE,FALSE,FALSE,TRUE
"202",FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
"203",TRUE,TRUE,TRUE,TRUE,TRUE,FALSE
"204",TRUE,TRUE,FALSE,FALSE,FALSE,TRUE
"205",FALSE,TRUE,TRUE,FALSE,FALSE,TRUE
"206",FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
"207",TRUE,FALSE,FALSE,TRUE,FALSE,FALSE
"208",TRUE,TRUE,FALSE,FALSE,FALSE,TRUE
"209",FALSE,TRUE,TRUE,FALSE,FALSE,TRUE
"210",TRUE,TRUE,FALSE,TRUE,FALSE,FALSE
"211",FALSE,TRUE,TRUE,FALSE,FALSE,TRUE
"212",FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
"213",FALSE,FALSE,TRUE,FALSE,FALSE,TRUE
"214",FALSE,FALSE,TRUE,FALSE,FALSE,TRUE
"215",FALSE,TRUE,TRUE,FALSE,FALSE,TRUE
"216",FALSE,TRUE,TRUE,FALSE,FALSE,TRUE
"217",FALSE,TRUE,TRUE,TRUE,TRUE,FALSE
"218",TRUE,TRUE,FALSE,FALSE,FALSE,TRUE
"219",TRUE,TRUE,FALSE,FALSE,FALSE,TRUE
"220",FALSE,TRUE,FALSE,FALSE,FALSE,TRUE
"221",FALSE,FALSE,TRUE,FALSE,FALSE,TRUE
"222",TRUE,FALSE,TRUE,TRUE,TRUE,FALSE
"223",TRUE,FALSE,TRUE,TRUE,TRUE,TRUE
"224",TRUE,TRUE,TRUE,TRUE,FALSE,FALSE
"225",FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
"226",TRUE,FALSE,FALSE,TRUE,TRUE,FALSE
"227",FALSE,FALSE,TRUE,FALSE,FALSE,TRUE
"228",FALSE,FALSE,TRUE,FALSE,FALSE,TRUE
"229",FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
"230",FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
"231",TRUE,TRUE,TRUE,TRUE,FALSE,FALSE
"232",TRUE,TRUE,FALSE,FALSE,FALSE,TRUE
"233",FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
"234",FALSE,TRUE,FALSE,FALSE,FALSE,TRUE
"235",TRUE,FALSE,FALSE,TRUE,TRUE,FALSE
"236",FALSE,TRUE,FALSE,FALSE,TRUE,TRUE
"237",FALSE,FALSE,TRUE,TRUE,TRUE,FALSE
"238",FALSE,TRUE,FALSE,FALSE,FALSE,TRUE
"239",FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
"240",FALSE,FALSE,TRUE,FALSE,FALSE,TRUE
"241",FALSE,TRUE,FALSE,FALSE,FALSE,TRUE
"242",FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
"243",FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
"244",TRUE,TRUE,FALSE,FALSE,FALSE,TRUE
"245",TRUE,FALSE,FALSE,FALSE,FALSE,TRUE
"246",TRUE,TRUE,FALSE,FALSE,FALSE,TRUE
"247",FALSE,TRUE,TRUE,TRUE,TRUE,FALSE
"248",TRUE,FALSE,TRUE,TRUE,FALSE,FALSE
"249",TRUE,TRUE,TRUE,FALSE,FALSE,TRUE
"250",TRUE,FALSE,FALSE,FALSE,TRUE,TRUE
"251",TRUE,FALSE,TRUE,FALSE,FALSE,TRUE
"252",TRUE,TRUE,FALSE,TRUE,FALSE,FALSE
"253",TRUE,TRUE,TRUE,TRUE,TRUE,FALSE
"254",FALSE,FALSE,TRUE,FALSE,FALSE,TRUE
"255",TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
"256",FALSE,TRUE,TRUE,TRUE,FALSE,FALSE
"257",TRUE,TRUE,FALSE,FALSE,FALSE,TRUE
"258",FALSE,TRUE,FALSE,FALSE,FALSE,TRUE
"259",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"260",TRUE,TRUE,FALSE,TRUE,FALSE,TRUE
"261",FALSE,TRUE,FALSE,FALSE,FALSE,TRUE
"262",TRUE,FALSE,FALSE,TRUE,FALSE,FALSE
"263",FALSE,TRUE,FALSE,TRUE,FALSE,FALSE
"264",FALSE,TRUE,TRUE,TRUE,FALSE,FALSE
"265",TRUE,TRUE,FALSE,FALSE,FALSE,TRUE
"266",FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
"267",FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
"268",FALSE,FALSE,TRUE,FALSE,FALSE,TRUE
"269",TRUE,FALSE,FALSE,FALSE,FALSE,TRUE
"270",FALSE,TRUE,FALSE,FALSE,FALSE,TRUE
"271",FALSE,FALSE,TRUE,FALSE,FALSE,TRUE
"272",FALSE,TRUE,TRUE,TRUE,TRUE,FALSE
"273",FALSE,TRUE,FALSE,TRUE,FALSE,FALSE
"274",FALSE,TRUE,FALSE,FALSE,FALSE,TRUE
"275",FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
"276",FALSE,TRUE,FALSE,FALSE,FALSE,TRUE
"277",FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
"278",FALSE,FALSE,TRUE,FALSE,FALSE,TRUE
"279",FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
"280",TRUE,FALSE,FALSE,FALSE,FALSE,TRUE
"281",FALSE,FALSE,TRUE,FALSE,FALSE,TRUE
"282",FALSE,FALSE,TRUE,FALSE,FALSE,TRUE
"283",TRUE,FALSE,FALSE,FALSE,TRUE,TRUE
"284",FALSE,TRUE,TRUE,FALSE,FALSE,FALSE
"285",TRUE,TRUE,FALSE,FALSE,FALSE,TRUE
"286",TRUE,FALSE,FALSE,FALSE,FALSE,TRUE
"287",FALSE,TRUE,TRUE,FALSE,FALSE,TRUE
"288",FALSE,TRUE,FALSE,FALSE,FALSE,TRUE
"289",TRUE,TRUE,TRUE,TRUE,FALSE,TRUE
"290",FALSE,TRUE,TRUE,TRUE,TRUE,FALSE
"291",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"292",FALSE,FALSE,TRUE,FALSE,FALSE,TRUE
"293",FALSE,TRUE,TRUE,FALSE,TRUE,TRUE
"294",TRUE,TRUE,TRUE,FALSE,FALSE,TRUE
"295",FALSE,TRUE,TRUE,TRUE,TRUE,FALSE
"296",FALSE,FALSE,TRUE,TRUE,FALSE,FALSE
"297",FALSE,TRUE,FALSE,FALSE,FALSE,TRUE
"298",FALSE,FALSE,TRUE,FALSE,TRUE,TRUE
"299",FALSE,FALSE,TRUE,FALSE,FALSE,TRUE
"300",FALSE,FALSE,TRUE,FALSE,FALSE,TRUE
"301",FALSE,FALSE,TRUE,FALSE,FALSE,TRUE
"302",FALSE,TRUE,TRUE,TRUE,FALSE,TRUE
"303",TRUE,TRUE,TRUE,FALSE,FALSE,TRUE
"304",FALSE,FALSE,TRUE,FALSE,FALSE,TRUE
"305",TRUE,TRUE,TRUE,TRUE,TRUE,FALSE
"306",FALSE,FALSE,TRUE,TRUE,FALSE,FALSE
"307",FALSE,FALSE,TRUE,FALSE,FALSE,TRUE
"308",FALSE,FALSE,TRUE,TRUE,FALSE,TRUE
"309",FALSE,TRUE,TRUE,TRUE,TRUE,FALSE
"310",TRUE,TRUE,FALSE,FALSE,FALSE,TRUE
"311",TRUE,TRUE,TRUE,TRUE,TRUE,FALSE
"312",TRUE,TRUE,TRUE,FALSE,FALSE,FALSE
"313",FALSE,TRUE,TRUE,FALSE,FALSE,TRUE
"314",FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
"315",FALSE,TRUE,TRUE,FALSE,TRUE,TRUE
"316",TRUE,TRUE,FALSE,FALSE,TRUE,TRUE
"317",TRUE,TRUE,FALSE,TRUE,TRUE,FALSE
"318",TRUE,TRUE,TRUE,TRUE,FALSE,FALSE
"319",FALSE,TRUE,TRUE,FALSE,FALSE,TRUE
"320",FALSE,FALSE,TRUE,FALSE,FALSE,TRUE
"321",TRUE,TRUE,TRUE,TRUE,FALSE,FALSE
"322",TRUE,TRUE,TRUE,TRUE,TRUE,FALSE
"323",FALSE,TRUE,TRUE,TRUE,FALSE,FALSE
"324",TRUE,TRUE,TRUE,FALSE,FALSE,FALSE
"325",FALSE,TRUE,TRUE,TRUE,TRUE,FALSE
"326",TRUE,FALSE,TRUE,FALSE,FALSE,TRUE
"327",TRUE,FALSE,TRUE,FALSE,FALSE,TRUE
"328",TRUE,TRUE,TRUE,TRUE,TRUE,FALSE
"329",FALSE,TRUE,FALSE,TRUE,TRUE,FALSE
"330",FALSE,TRUE,TRUE,FALSE,TRUE,FALSE
"331",TRUE,TRUE,TRUE,TRUE,TRUE,FALSE
"332",TRUE,TRUE,TRUE,TRUE,FALSE,TRUE
"333",TRUE,FALSE,TRUE,FALSE,TRUE,TRUE
"334",FALSE,FALSE,TRUE,FALSE,FALSE,TRUE
"335",FALSE,FALSE,TRUE,FALSE,FALSE,TRUE
"336",TRUE,TRUE,FALSE,FALSE,TRUE,FALSE
"337",TRUE,FALSE,FALSE,FALSE,FALSE,TRUE
"338",FALSE,TRUE,FALSE,TRUE,FALSE,FALSE
"339",FALSE,TRUE,FALSE,FALSE,FALSE,TRUE
"340",FALSE,TRUE,FALSE,TRUE,FALSE,FALSE
"341",TRUE,TRUE,FALSE,TRUE,FALSE,FALSE
"342",TRUE,FALSE,TRUE,FALSE,FALSE,TRUE
"343",TRUE,TRUE,FALSE,FALSE,FALSE,TRUE
"344",TRUE,FALSE,FALSE,FALSE,FALSE,TRUE
"345",FALSE,FALSE,TRUE,FALSE,FALSE,TRUE
"346",TRUE,TRUE,FALSE,FALSE,FALSE,TRUE
"347",TRUE,FALSE,FALSE,FALSE,FALSE,TRUE
"348",FALSE,FALSE,TRUE,FALSE,FALSE,TRUE
"349",FALSE,TRUE,FALSE,FALSE,FALSE,TRUE
"350",TRUE,FALSE,FALSE,FALSE,FALSE,TRUE
"351",TRUE,TRUE,TRUE,FALSE,FALSE,TRUE
"352",TRUE,TRUE,FALSE,FALSE,FALSE,TRUE
"353",TRUE,FALSE,FALSE,FALSE,FALSE,TRUE
"354",TRUE,FALSE,TRUE,FALSE,FALSE,TRUE
"355",FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
"356",TRUE,FALSE,FALSE,TRUE,TRUE,TRUE
"357",FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
"358",FALSE,TRUE,FALSE,FALSE,FALSE,TRUE
"359",FALSE,FALSE,TRUE,FALSE,FALSE,TRUE
"360",FALSE,FALSE,TRUE,FALSE,FALSE,TRUE
"361",FALSE,TRUE,TRUE,FALSE,FALSE,TRUE
"362",TRUE,FALSE,TRUE,FALSE,FALSE,TRUE
"363",FALSE,TRUE,FALSE,FALSE,FALSE,TRUE
"364",TRUE,FALSE,TRUE,FALSE,FALSE,TRUE
"365",TRUE,TRUE,TRUE,TRUE,FALSE,FALSE
"366",FALSE,TRUE,FALSE,FALSE,FALSE,TRUE
"367",FALSE,TRUE,FALSE,FALSE,FALSE,TRUE
"368",TRUE,TRUE,TRUE,TRUE,FALSE,FALSE
"369",TRUE,TRUE,TRUE,TRUE,FALSE,FALSE
"370",FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
"371",FALSE,TRUE,FALSE,FALSE,FALSE,TRUE
"372",FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
"373",FALSE,FALSE,TRUE,FALSE,FALSE,TRUE
"374",FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
"375",FALSE,TRUE,TRUE,TRUE,FALSE,FALSE
"376",FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
"377",FALSE,TRUE,TRUE,TRUE,FALSE,FALSE
"378",FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
"379",TRUE,FALSE,TRUE,TRUE,FALSE,FALSE
"380",FALSE,FALSE,TRUE,FALSE,FALSE,TRUE
"381",FALSE,FALSE,TRUE,FALSE,TRUE,TRUE
"382",FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
"383",TRUE,FALSE,TRUE,FALSE,FALSE,TRUE
"384",TRUE,TRUE,TRUE,FALSE,TRUE,TRUE
"385",FALSE,FALSE,TRUE,FALSE,FALSE,TRUE
"386",TRUE,FALSE,FALSE,FALSE,TRUE,TRUE
"387",TRUE,TRUE,FALSE,TRUE,FALSE,FALSE
"388",FALSE,FALSE,FALSE,FALSE,TRUE,TRUE
"389",FALSE,TRUE,TRUE,TRUE,TRUE,FALSE
"390",FALSE,FALSE,TRUE,TRUE,FALSE,TRUE
"391",FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
"392",TRUE,FALSE,FALSE,FALSE,FALSE,TRUE
"393",FALSE,FALSE,TRUE,FALSE,FALSE,TRUE
"394",TRUE,TRUE,TRUE,FALSE,FALSE,TRUE
"395",FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
"396",TRUE,FALSE,TRUE,FALSE,FALSE,TRUE
"397",FALSE,TRUE,FALSE,FALSE,FALSE,TRUE
"398",TRUE,TRUE,TRUE,FALSE,TRUE,TRUE
"399",FALSE,TRUE,TRUE,TRUE,TRUE,TRUE
"400",TRUE,FALSE,TRUE,TRUE,FALSE,FALSE
"401",FALSE,FALSE,TRUE,FALSE,TRUE,FALSE
"402",FALSE,TRUE,FALSE,FALSE,FALSE,TRUE
"403",FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
"404",TRUE,TRUE,TRUE,FALSE,FALSE,TRUE
"405",TRUE,TRUE,TRUE,FALSE,TRUE,FALSE
"406",FALSE,TRUE,TRUE,TRUE,TRUE,FALSE
"407",TRUE,FALSE,TRUE,FALSE,TRUE,TRUE
"408",TRUE,TRUE,TRUE,FALSE,FALSE,TRUE
"409",FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
"410",TRUE,TRUE,TRUE,FALSE,FALSE,TRUE
"411",FALSE,TRUE,TRUE,FALSE,FALSE,TRUE
"412",FALSE,TRUE,FALSE,TRUE,TRUE,TRUE
"413",FALSE,FALSE,FALSE,FALSE,TRUE,TRUE
"414",TRUE,FALSE,TRUE,FALSE,TRUE,TRUE
"415",TRUE,TRUE,TRUE,FALSE,FALSE,TRUE
"416",FALSE,FALSE,TRUE,FALSE,FALSE,TRUE
"417",FALSE,FALSE,TRUE,FALSE,FALSE,TRUE
"418",FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
"419",FALSE,FALSE,TRUE,FALSE,FALSE,TRUE
"420",FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
"421",TRUE,FALSE,TRUE,FALSE,FALSE,TRUE
"422",FALSE,TRUE,TRUE,TRUE,TRUE,FALSE
